n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
68	208.2828	42.87601	122.0123	380.6192	140.78	148.6001	159.1729	173.8505	183.2539	192.4916	200.9652	210.7415	223.2062	240.4288	266.37	292.2345	306.1144
69	210.1514	43.42139	126.5662	454.1068	144.0104	149.6162	159.3142	174.2871	184.6564	195.0256	203.8921	212.8943	226.4465	240.7177	270.9668	294.844	305.5241
70	214.7201	46.23404	126.7241	471.2855	143.6106	155.0419	161.6137	176.7371	187.1016	197.0228	207.4657	218.3941	232.3166	249.4754	277.9227	298.6269	315.1444
71	218.837	45.41022	123.8588	412.5433	146.5674	155.83	166.4061	181.1988	192.7589	201.6209	211.79	222.0405	236.6918	253.1897	277.1931	303.7054	321.8167
72	225.3981	49.98602	131.5903	454.5943	151.5553	160.9845	170.3731	185.5101	195.2486	204.8634	215.7081	226.2786	242.1673	263.6134	289.4737	322.7677	346.3972
73	225.871	47.44588	138.3257	521.4087	154.1071	162.145	171.5634	184.7512	197.0837	209.165	218.5246	231.0563	242.65	261.0613	290.2258	312.3155	325.1292
74	231.0144	50.79648	128.639	435.3091	156.3522	164.8696	174.9886	187.6779	201.3753	211.7428	222.027	232.9141	247.5177	267.4004	297.4492	334.0344	353.1303
75	236.9733	52.69908	136.2718	485.1824	158.3414	171.7236	181.4497	193.9562	205.2291	215.7916	227.0463	239.1966	252.3391	271.9908	305.5847	343.2885	365.6802
76	235.3079	51.04996	144.6859	485.4925	158.1487	167.8779	180.2831	192.3278	203.0025	215.5922	227.8859	240.0604	253.0435	270.3479	304.2647	334.6984	357.0742
77	244.0668	52.48887	128.6779	500.8653	161.7344	174.069	185.8871	201.0647	212.9695	225.5172	236.5692	248.0323	260.5187	282.062	314.8778	337.0312	363.6757
78	244.9097	49.98776	135.222	500.4438	168.226	177.302	187.8191	202.0248	215.6316	227.4357	239.3846	251.736	264.5506	278.9211	308.9401	336.9911	354.072
79	254.1461	55.07534	138.1702	553.0868	167.8094	180.455	191.4471	208.7989	222.3915	234.7807	246.0935	259.2142	272.7508	292.1164	326.5762	358.2039	379.2123
80	256.7779	57.14619	148.8758	623.2054	166.7303	181.7361	195.0743	209.3227	222.9619	235.4273	247.9577	261.226	277.1606	298.7122	327.3958	364.2829	385.27
81	258.664	55.5079	146.4889	519.6518	170.7542	182.4007	193.8479	211.7711	226.4111	238.9372	250.8924	264.6715	278.6503	300.5695	331.7635	361.9282	383.6626
82	261.7965	58.95574	150.8509	534.9551	170.5462	185.7633	197.8156	213.5392	225.7609	238.4974	250.8824	264.4315	282.4199	304.3748	336.6512	372.5789	397.9372
83	265.9285	57.4854	149.8833	566.4371	175.2684	189.1217	201.0373	218.7076	231.6161	242.72	255.5132	272.1415	287.3534	310.3192	339.8456	369.5443	392.2741
84	268.0456	58.9034	149.104	600.3141	180.2803	193.0699	204.1176	219.6156	231.2358	245.5809	257.7266	270.7434	286.0909	309.582	345.0725	381.3948	401.0062
85	270.5533	55.48419	160.6144	492.6469	185.6744	196.7308	207.497	224.1384	236.8333	248.8735	261.0479	272.8791	290.6235	312.6883	346.3871	382.6395	398.1407
86	274.3222	59.54952	159.7122	602.0415	187.4166	202.9483	213.4971	227.0286	239.8729	249.906	261.937	273.8175	292.9351	313.2475	354.9394	387.7757	414.4925
87	277.0184	59.31416	157.245	630.0667	183.0601	199.1683	211.8065	228.5717	241.0436	254.4936	267.4659	281.1423	297.4273	317.0442	358.7548	388.2602	408.0747
88	281.9031	61.58329	167.3828	599.2145	189.6339	202.571	215.8819	231.8965	244.1373	256.671	271.8547	283.808	304.2548	325.4566	364.044	399.2894	419.1635
89	284.483	61.50256	166.9221	587.9099	191.6272	204.9463	218.1169	233.1244	247.2448	260.9636	274.5014	289.5427	305.4554	326.8394	365.2027	408.9927	428.7144
90	291.8228	62.31845	156.949	598.2132	193.0181	209.8285	221.2193	239.0628	255.4584	268.1324	281.5067	298.4091	313.7515	336.235	371.5616	411.983	431.4545
91	294.0019	64.43607	159.7748	531.6061	195.0026	210.8317	223.0269	239.8249	253.9055	266.3118	281.8404	298.1225	316.7649	344.4982	382.297	415.4347	439.7533
92	295.4025	62.04743	169.0059	577.7101	200.7187	213.9276	228.7947	245.8719	258.3467	270.8837	283.2066	300.1466	316.5186	338.3608	380.2144	412.9952	441.3004
93	302.5405	66.35448	167.4813	792.8449	202.5808	215.0698	230.2325	247.8185	262.9201	277.7643	292.1866	308.099	328.7172	347.3788	386.5967	423.0071	449.4296
94	306.2614	68.67604	178.5301	641.4281	204.1372	215.3346	229.7455	248.8554	266.5971	279.5657	294.7745	310.8504	331.1661	354.4051	396.7153	438.3218	465.7757
95	309.7085	67.1365	179.761	574.9174	208.684	219.9295	235.3763	251.3106	268.1996	283.9084	298.4208	315.1682	335.3386	358.2443	402.1641	438.9795	466.9358
96	317.191	71.10111	171.0322	608.6978	208.7822	224.0603	238.5204	257.8333	274.2098	290.608	307.6199	323.8966	342.2952	365.2095	405.1382	460.2076	485.2216
97	321.0505	69.52264	181.2402	628.1314	215.7499	230.0674	242.1033	262.2842	278.6898	292.8156	308.2807	323.5305	347.8247	374.5237	414.1171	457.7805	482.5837
98	318.5242	71.97636	183.562	658.89	211.4852	226.3316	239.6977	260.0404	276.4381	291.1203	304.1069	320.3545	343.4618	370.4848	413.8925	451.0432	493.6446
99	326.3884	71.141	199.1733	675.6737	219.308	232.2262	248.1129	266.8445	282.2393	299.7032	314.9476	331.7002	353.5124	375.5875	417.8409	463.0346	491.0417
100	332.7383	76.62189	191.0628	823.2946	219.4402	235.4634	249.1766	268.6373	288.7525	303.7515	318.1713	337.5456	360.1111	388.1507	432.5113	469.6137	500.187
101	332.8473	74.81871	189.6022	753.8594	219.0548	238.2226	251.1932	270.7213	286.3721	304.5603	319.975	339.4996	359.8917	385.593	431.3177	480.4092	509.9471
102	337.108	74.85852	205.1731	824.0473	231.0476	244.8939	256.8793	273.4026	290.1189	307.9302	323.8549	341.7089	361.3558	391.6146	436.913	472.5272	501.1926
103	338.8663	73.84062	200.6066	728.1724	230.5016	245.1693	259.5361	279.9821	295.2389	308.856	325.412	343.2244	360.2527	388.7827	436.1903	482.14	507.4554
104	346.2385	76.17628	202.5784	747.4931	228.4447	249.4434	264.0227	284.2077	302.5145	317.0994	333.7139	351.0228	370.5064	396.2386	442.0588	495.1333	520.8791
105	346.5111	76.26284	195.977	759.9974	228.976	248.0766	264.9717	284.7332	300.3115	313.573	331.4257	350.1257	372.2419	404.6715	450.3676	493.8259	516.6904
106	353.0886	78.42075	209.7284	764.5659	240.3934	254.7509	271.9338	292.5013	307.1238	323.4563	338.3282	358.7952	377.4877	400.3136	446.6643	503.155	543.5632
107	359.9577	83.59961	211.6318	918.2434	237.9559	252.6044	275.9493	294.5624	311.1238	326.138	345.6472	363.1804	385.4828	414.812	462.2056	519.366	556.2814
108	356.8316	79.3097	213.82	701.9131	237.6215	256.1679	269.0204	288.2707	306.7866	323.8518	346.1719	363.3346	386.1878	413.7451	460.5714	504.8069	542.0387
109	362.9504	78.63335	212.9836	693.3924	245.815	259.5631	273.4904	298.4359	317.8443	332.7386	347.7815	366.5911	387.1511	422.032	471.9322	511.0157	540.9806
110	365.8143	81.15357	205.217	817.0122	240.3913	255.5543	276.1123	300.2332	319.0047	334.9896	350.9487	371.0391	394.4756	425.2435	476.0578	515.0126	538.4747
111	374.5824	84.85023	214.5926	769.4368	248.9317	265.7348	282.4093	303.4765	323.5506	341.2418	358.2792	379.7776	404.5788	435.3665	491.3838	533.0113	569.7219
112	374.5489	82.34168	218.9246	726.978	252.2241	266.9457	284.496	304.7409	323.2182	342.8629	362.1988	380.1658	404.3118	432.963	481.0416	525.7052	572.1337
113	378.0057	83.79526	190.5676	776.4895	252.7034	269.2657	287.9444	307.6638	327.7118	346.6194	365.6734	383.4632	405.5761	433.4028	485.999	535.6855	562.6731
114	381.5619	84.57428	205.2291	747.8302	256.3006	271.8566	290.7783	311.7932	329.6028	347.5644	367.3064	389.5651	410.384	442.017	488.5765	541.3178	593.739
