n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
101	670.5964	174.1503	305.1934	1344.801	378.1296	419.9714	456.5808	517.35	574.4362	612.3014	649.0139	694.8144	738.9736	805.6283	915.9902	990.0859	1022.557
102	682.3551	171.4386	325.8834	1588.825	406.6854	443	479.7687	533.406	581.7414	621.4033	664.4614	705.5431	755.744	815.9111	909.5032	994.3108	1048.08
103	696.0363	186.0199	356.6469	1624.839	405.6439	445.7611	480.8461	530.266	577.8728	623.7331	665.8386	717.0976	774.0265	855.1433	946.9013	1027.358	1109.932
104	696.0052	187.712	305.9412	1441.916	399.98	435.5491	479.3996	537.2085	579.0294	621.9108	666.3197	720.8252	772.4662	840.9602	947.312	1041.841	1115.315
105	714.6774	188.1605	328.8784	1783.155	416.994	460.389	498.982	551.3193	596.5694	643.9068	694.3076	740.8738	794.289	857.2123	950.6782	1067.586	1146.636
106	718.0144	188.1772	352.0795	1557.414	420.7481	464.3781	502.9364	557.2962	597.816	640.4256	686.6054	736.7035	798.114	862.7914	973.2302	1072.537	1116.124
107	737.1095	190.2538	321.8121	1542.078	409.1528	469.5668	511.1282	568.4321	625.2719	668.7399	711.2805	761.574	820.7935	892.9642	992.1315	1087.372	1142.233
108	733.7297	191.5033	317.6932	1504.209	418.7338	466.073	499.877	566.4495	612.9592	663.1599	705.9894	763.9326	819.717	893.5586	993.2336	1077.082	1128.506
109	753.1978	193.6937	338.2617	1723.157	444.6932	481.7333	515.2048	588.3171	636.367	685.2503	728.3282	778.1137	838.9541	909.5081	1012.469	1096.82	1149.431
110	763.4433	199.4016	382.9869	1723.354	455.0824	496.1784	540.2148	590.6505	637.2488	683.758	734.4399	781.5932	845.1142	919.5173	1034.263	1129.5	1216.623
111	773.6942	200.2864	349.4954	1634.483	444.4322	496.8652	535.2074	593.8249	651.3386	695.5696	751.2223	807.1208	866.4145	928.2828	1044.358	1129.787	1213.74
112	775.757	204.6422	325.8282	1657.361	454.0187	492.2449	545.8159	601.8114	641.545	686.762	748.6361	802.8356	866.5593	944.1435	1051.802	1142.35	1200.717
113	797.0684	200.2193	373.7981	1600.93	474.8558	506.6241	562.2126	625.8378	681.3589	725.2282	769.4323	816.1434	877.0792	955.7432	1070.453	1177.125	1238.7
114	800.5986	211.1998	375.7646	1671.189	468.1271	508.9587	552.6328	616.696	678.1829	727.8819	775.6462	825.097	879.4709	957.7521	1089.713	1216.233	1276.821
115	825.3034	213.8386	411.3052	1686.559	475.2463	528.8261	574.7678	648.6054	696.3562	743.8555	794.2084	852.3479	912.4358	982.4342	1117.66	1223.999	1311.576
